actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
RT DomAnglade Quelle trag die comment ne pas tre boulvers par ce drame lan de solidarit pour les enfants syriens morts dans un in ,Positive,domanglade quelle trag die comment pas tre boulvers drame lan solidarit pour enfants syriens morts dans,2,1
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
Update RCMP Halifax police working together following firearms theft from Hantsport home The Register Advertis ,Negative,update rcmp halifax police following firearms theft hantsport home register advertis,1,2
RT notandrea PMO has confirmed Justin Trudeau will attend the community gathering in Halifax tonight in memory of the seven Barho childre ,Negative,notandrea pmo confirmed justin trudeau attend community gathering halifax tonight memory seven barho childre,1,2
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
It s a new Halifax art movement Constructionism ,Negative,halifax movement constructionism,0,2
RT halifaxnoise JUSTIN WILL BE ATTENDING TONIGHT 7pm Grand Parade From notandrea PMO has confirmed Justin Trudeau will attend the com ,Negative,halifaxnoise justin attending tonight pm grand parade notandrea pmo confirmed justin trudeau attend,1,5
My heart,Neutral,heart,0,0
RT OnElectionDay ,Neutral,onelectionday,0,0
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT hfxgov Managing Director of Diversity amp Inclusion Tracey Jones Grant was the first African Nova Scotian to graduate from Dalhousie Un ,Negative,hfxgov managing director diversity amp inclusion tracey jones grant african nova scotian graduate dalhousie,0,4
RT KerriFroc Good luck to our wonderful LawNeedsFem team from UNB co organizing the 2019 Halifax Forum Go and raise a little hell amp ,Positive,kerrifroc luck wonderful lawneedsfem team unb organizing  halifax forum raise little hell amp,4,3
RT notandrea PMO has confirmed Justin Trudeau will attend the community gathering in Halifax tonight in memory of the seven Barho childre ,Negative,notandrea pmo confirmed justin trudeau attend community gathering halifax tonight memory seven barho childre,1,2
RT notandrea PMO has confirmed Justin Trudeau will attend the community gathering in Halifax tonight in memory of the seven Barho childre ,Negative,notandrea pmo confirmed justin trudeau attend community gathering halifax tonight memory seven barho childre,1,2
I lost like 50lbs so that I could dress better and it was useless because Halifax has nowhere to shop,Negative,lost lbs dress useless halifax shop,0,4
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT LocalYokel Great picture PaulJHeyes ,Neutral,localyokel picture pauljheyes,0,0
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
this happened in my community and it is just beyond words so devastating,Neutral,happened community beyond words devastating,1,1
RT SPDPhotography Perfect reflections in Hebden Bridge calderdale halifax yorkshire water canal CanalRiverTrust nature histor ,Neutral,spdphotography perfect reflections hebden bridge calderdale halifax yorkshire water canal canalrivertrust nature histor,3,3
Updated Suspect taken into custody after weapons complaint at Dartmouth High School Halifax ,Negative,updated suspect custody weapons complaint dartmouth school halifax,0,4
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT globalhalifax She came down to make milk for the baby and she noticed the fire She called her husband who tried to put it off An ,Negative,globalhalifax milk baby noticed fire called husband tried,1,2
Crystal Crescent Beach hike on a Nova Scotian bank holiday with my hopscotching beau robert falvey ,Negative,crystal crescent beach hike nova scotian bank holiday hopscotching beau robert falvey,0,1
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT YMCAHD In the wake of yesterday s tragedy tonight 7 8pm a community gathering will be held in support of the Barho family at Grand Pa ,Positive,ymcahd wake yesterday tragedy tonight  pm community gathering held support barho family grand,3,2
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
Le premier ministre JustinTrudeau se rendra au rassemblement organis ce soir Halifax en l honneur des victimes ,Negative,premier ministre justintrudeau rendra rassemblement organis soir halifax honneur victimes,1,3
What I ve learnt from today I get third partied on apex every game Halifax is a shambles of a bank I need more sleep That is all,Negative,learnt third partied apex game halifax shambles bank sleep,0,3
RT WarringtonRLFC1 A look back at this unbelievable try by jonathan davies at thrum hall vs halifax The way he fakes the kick and puts t ,Negative,warringtonrlfc look unbelievable try jonathan davies thrum vs halifax fakes kick,1,5
100 years after the anti Chinese riots in Halifax Halifax ,Negative, chinese riots halifax halifax,0,1
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT LeedsIndieFood Who s ready for the return of the UK s biggest food festival ChowDown is back this summer ThePieceHall Huge thank ,Neutral,leedsindiefood return uk biggest food festival chowdown summer thepiecehall huge thank,2,2
RT RussellFireDept We would like to express our sorrow to all affected by this devastating fire Please take the time to test your smoke ,Negative,russellfiredept express sorrow affected devastating fire please time smoke,1,6
RT jessleeder Some days journalism offers a rare window into the amazing Other days it forces you to lock eyes with your worst nightmare ,Negative,jessleeder days journalism offers rare window amazing days forces lock eyes worst nightmare,2,3
RT cenasdefilms O peda o de madeira que salvou a vida de Rose uma c pia exata de um resto do naufr gio encontrado no mar ap s a trag di ,Negative,cenasdefilms peda madeira que salvou vida rose uma pia exata resto naufr gio encontrado mar trag,0,2
 Simply c ok Animated Halifax Yay ,Neutral,simply animated halifax yay,1,1
 AskBankOfScot can I manage Halifax accounts both current and savings in a BoS branch or must it be a Halifax bra ,Negative,askbankofscot manage halifax accounts current savings bos branch halifax bra,1,2
RT TheGammaGals In Halifax Stop by strangeadventrz for your copy of TheGammaGals trade paperback from Fanbase Press Comics RPG S ,Negative,thegammagals halifax stop strangeadventrz copy thegammagals trade paperback fanbase press comics rpg,1,3
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
RT JenniferCode A generous response to a terrible tragedy ,Negative,jennifercode generous response terrible tragedy,1,4
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
Ils ont fui l enfer syrien et le brasier les a rattrap s 10000 km plus loi et 2 ans plus tard souligner l lan ,Negative,ils ont fui enfer syrien brasier rattrap  km plus loi  ans plus tard souligner lan,0,1
 ,Neutral,,0,0
Wnd NNW 13 km h Max 59 2 km h at 06 18 Dry T 8 5C Chill 14C H 7 4C L 13 9C Rn24h 0 0 mm DP 17 6C Hum ,Negative,wnd nnw  km max   km   dry  c chill c  c  c rnh   mm dp  c hum,0,3
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
Halifax mourns house fire victims who came to Canada seeking safety FiWEH Life ,Negative,halifax mourns house fire victims canada seeking safety fiweh life,1,3
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT Annavalgal Weekend video Halifax press conference about racist profiling at Parliament Hill ,Negative,annavalgal weekend video halifax press conference racist profiling parliament hill,0,2
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
Someone buy my plane ticket to go home or Halifax during spring break please and thank you ,Negative,buy plane ticket home halifax spring break please thank,2,4
Was one icy ferry this morning hfxtransit downtownhalifax DT Dartmouth halifax halifaxferry halifaxtransit ,Negative,icy ferry morning hfxtransit downtownhalifax dt dartmouth halifax halifaxferry halifaxtransit,0,2
Dartmouth High on lockdown as police investigate weapons compla lokol halifax,Negative,dartmouth lockdown police investigate weapons compla lokol halifax,0,1
 JustinTrudeau thanks for deciding to attend the vigil for the family here in halifax Please make it meaningful ,Negative,justintrudeau thanks deciding attend vigil family halifax please meaningful,3,7
 haligonia Halifax police,Negative,haligonia halifax police,0,1
RT rdimatin Drame Halifax une famille d cim e par un incendie Qu bec annonce la cr ation de 13 500 places en CPE JustinTrudeau r un ,Negative,rdimatin drame halifax une famille cim incendie annonce ation   cpe justintrudeau,0,5
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
Here is our February Edition of Halifax Senior Living e Newsletter Read share subscribe and Enjoy ,Neutral,february edition halifax senior living newsletter share subscribe enjoy,2,2
RT globalhalifax She came down to make milk for the baby and she noticed the fire She called her husband who tried to put it off An ,Negative,globalhalifax milk baby noticed fire called husband tried,1,2
RT NEWS957 Two arrested in Halifax after guns stolen from Hantsport home ,Negative,news arrested halifax guns stolen hantsport home,0,3
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
 jeffshelman Came from Halifax this morning YHZ gt YYZ gt DTW gt MSP Just landed and about to tackle the drive from MSP to ,Negative,jeffshelman halifax morning yhz gt yyz gt dtw gt msp landed tackle drive msp,0,1
RT CdnPressVideo Dozens of people gathered outside the charred remnants of a suburban Halifax home Tuesday night to mourn the loss of sev ,Negative,cdnpressvideo dozens people gathered outside charred remnants suburban halifax home tuesday night mourn loss,0,3
RT liamstack They are from Raqqa which is one of the worst affected areas in Syria said an imam at a mosque the family attended The ,Negative,liamstack raqqa worst affected syria imam mosque family attended,0,1
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT GarrisonBrewing We re hiring Check out our posting for Sales Representative HRM here halifaxnoisejobs hal ,Negative,garrisonbrewing hiring check posting sales representative hrm halifaxnoisejobs,1,6
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT dondarlingSJ We send our deepest condolences from all citizens of cityofsaintjohn to our neighbors There are no words that capture t ,Positive,dondarlingsj send deepest condolences citizens cityofsaintjohn neighbors words capture,2,1
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT globalnews A Halifax neighbourhood is organizing a tribute to the 7 young people killed in a house fire and are inviting the rest of ,Negative,globalnews halifax neighbourhood organizing tribute  people killed house fire inviting,1,4
6pm Halifax Shearwater Weather,Negative,pm halifax shearwater weather,0,1
Triste noticia ,Neutral,triste noticia,0,0
RT CTVNews Community asked to put out teddy bears in honour of 7 children killed in Halifax fire ,Negative,ctvnews community teddy bears honour  children killed halifax fire,2,4
RT WestYorkshireCA This is a chance to go along and haveyoursay on plans for the latest stage of the 120 million A629 improvement prog ,Neutral,westyorkshireca chance haveyoursay plans stage  million a improvement prog,2,2
RT OnElectionDay ,Neutral,onelectionday,0,0
BREAKING Prime Minister Justin Trudeau is set to attend a community gathering after a fatal house fire in Halifax ,Negative,breaking prime minister justin trudeau set attend community gathering fatal house fire halifax,1,7
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
 dianemholmes Halifax Not a Piece Hall but the Piece Hall ,Negative,dianemholmes halifax piece piece,0,1
SAMAYAVELLIDE WHERE IS TIME Cardiff Montpellier Canberra Newcastle Bratislava ,Negative,samayavellide time cardiff montpellier canberra newcastle bratislava,0,4
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT jessleeder Neighbours of the Barho family who lost 7 children in yesterday s horrific fire have set out 7 stuffed animals to remember ,Negative,jessleeder neighbours barho family lost  children yesterday horrific fire set  stuffed animals remember,0,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
The sender claimed the coins were valued at close to 38 000 based on what he paid for them and on his 20 years of ,Negative,sender claimed coins valued close   based paid ,0,1
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
Busy few weeks ahead training preparing teachers to deliver puberty ed then heading to Halifax for year 8 drop ,Negative,busy weeks ahead training preparing teachers deliver puberty heading halifax  drop,0,4
Before Booba went home we gathered stuffies large to tiny 7 of them One for each of the Barho children We talke ,Neutral,booba home gathered stuffies tiny  barho children talke,0,0
Halifax Rl Women s team Tnite 26 trained with more to come Thanks to Fax Community coaches Dan Fleming Ben Kavanag ,Negative,halifax women team tnite  trained thanks fax community coaches dan fleming ben kavanag,2,4
 thestarhalifax UPDATE Halifax Regional Police say the lockdown at Dartmouth High School has been lifted and a ,Negative,thestarhalifax update halifax regional police lockdown dartmouth school lifted,0,1
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
6pm Mainly Clear 8 3C Feels 17C 1 4F Wind NW 30km h Barometer 102 7 kPa ,Positive,pm mainly  c feels c  f wind nw km barometer   kpa,1,0
 jeannamw Halifax Grand Parade 7pm to 8pm Trudeau likely to arrive part way through ,Negative,jeannamw halifax grand parade pm pm trudeau arrive,1,2
A house fire in Halifax Nova Scotia Canada kills seven children from a Syrian family ,Negative,house fire halifax nova scotia canada kills seven children syrian family,0,4
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT Calderdale Budget Council takes place at 6pm on Monday 25 Feb in Halifax Town Hall If you are interested in finding out how the Counc ,Negative,calderdale budget council takes pm monday  feb halifax town finding counc,0,3
RT thestarhalifax Police say they have closed Victoria Road from Thistle Street to Nantucket Avenue and they are asking people to avoid ,Negative,thestarhalifax police closed victoria road thistle street nantucket avenue people avoid,0,2
RT TorontoStar thestarhalifax UPDATE Halifax Regional Police say the lockdown at Dartmouth High School has been lifted and a suspect ,Negative,torontostar thestarhalifax update halifax regional police lockdown dartmouth school lifted suspect,0,2
Plainte reli e une arme confinement dans une cole secondaire de Halifax JDQ ,Negative,plainte reli une arme confinement dans une cole secondaire halifax jdq,1,2
 We re in the middle of a crisis sounding the alarm about need for urgent global change to avoid drought floods ,Negative,middle crisis sounding alarm urgent global change avoid drought floods,0,9
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT CTVAtlantic Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,ctvatlantic halifax calls community gathering mourn syrian children killed fire,2,5
RT globalhalifax BREAKING Prime Minister Justin Trudeau is set to attend a community gathering after a fatal house fire in Halifax https ,Negative,globalhalifax breaking prime minister justin trudeau set attend community gathering fatal house fire halifax https,1,7
RT TorontoStar thestarhalifax UPDATE Halifax Regional Police say the lockdown at Dartmouth High School has been lifted and a suspect ,Negative,torontostar thestarhalifax update halifax regional police lockdown dartmouth school lifted suspect,0,2
Holy Moly Our weekend is jam packed with lot s of FUN Halifax livemusic openmic livetrivia halifax ,Neutral,holy moly weekend jam packed lot fun halifax livemusic openmic livetrivia halifax,2,2
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT CBCNS Family that lost 7 children in house fire came to Halifax as refugees in 2017 ,Negative,cbcns family lost  children house fire halifax refugees ,0,3
7 kids from same family killed in early morning house fire in Halifax ,Negative, kids family killed morning house fire halifax,1,4
RT Brett CBC BREAKING Prime Minister Justin Trudeau will attend a vigil in downtown Halifax tonight to remember the 7 Syrian refugee ch ,Negative,brett cbc breaking prime minister justin trudeau attend vigil downtown halifax tonight remember  syrian refugee,0,4
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
Halifax 24 Month Balance Transfer Credit Card 0 on Purchases for 12 months see website here creditcard,Negative,halifax  month balance transfer credit card  purchases  months website creditcard,0,2
I am so excited that this is happening again this year thanks to the great team LeedsIndieFood and team ,Positive,excited happening thanks team leedsindiefood team,3,2
Halifax police say suspect in custody after Dartmouth High lockdown After the children in t ,Negative,halifax police suspect custody dartmouth lockdown children,0,2
RT LeedsIndieFood Who s ready for the return of the UK s biggest food festival ChowDown is back this summer ThePieceHall Huge thank ,Neutral,leedsindiefood return uk biggest food festival chowdown summer thepiecehall huge thank,2,2
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT dianemholmes We re briefly in Halifax and they ve got a rather nice Piece Hall ,Neutral,dianemholmes briefly halifax nice piece,1,1
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT AlexanderQuon BREAKING Prime Minister JustinTrudeau is set to attend a vigil in downtown Halifax this evening to remember the 7 Syr ,Negative,alexanderquon breaking prime minister justintrudeau set attend vigil downtown halifax evening remember  syr,0,5
Sad news,Negative,sad news,0,1
Can t believe this shit can still happen Flees terrorism and Civil war just to end up in a tragedy like this My p ,Negative,believe shit happen flees terrorism civil tragedy,0,11
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT ramahkudaimi they made it out of Raqqa and this happens ,Neutral,ramahkudaimi raqqa happens,0,0
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
Woman asking people to put stuffed animals on doorsteps to remember seven kids killed in Halifax fire ,Negative,woman people stuffed animals doorsteps remember seven kids killed halifax fire,1,4
 VictoriaLoder Read a book set in Halifax ,Negative,victorialoder book set halifax,0,1
RT HfxWanderersFC Wanderers sign Halifax born goalkeeper versatile defender Welcome Christian Oxner and Alex De Carolis Full ,Positive,hfxwanderersfc wanderers sign halifax born goalkeeper versatile defender welcome christian oxner alex carolis,3,1
This is unimaginable Truly heartbreaking ,Negative,unimaginable truly heartbreaking,0,4
Update on Dartmouth High lockdown HfxRegPolice say a 15 year old boy was arrested An imitation handgun was reco ,Neutral,update dartmouth lockdown hfxregpolice  boy arrested imitation handgun reco,0,0
 ChrisWebby So No east coast tour dates for Canada we do exist down here New Brunswick Moncton Halifax NS ,Negative,chriswebby coast tour dates canada exist brunswick moncton halifax,0,1
7 children killed 2 adults sent to hospital after Halifax house fire That s a hell of a lo ,Negative, children killed  adults hospital halifax house fire hell,1,5
Virtue Signa oh never mind,Positive,virtue signa oh mind,1,0
RT Airfix Last Friday s instalment of Workbench focused on three new 1 72 scale kits all of which have been released recently We also i ,Positive,airfix friday instalment workbench focused   scale kits released recently,3,0
RT RhondaBrown5 Update on Dartmouth High lockdown HfxRegPolice say a 15 year old boy was arrested An imitation handgun was recovered ,Positive,rhondabrown update dartmouth lockdown hfxregpolice  boy arrested imitation handgun recovered,1,0
RT RhondaBrown5 Update on Dartmouth High lockdown HfxRegPolice say a 15 year old boy was arrested An imitation handgun was recovered ,Positive,rhondabrown update dartmouth lockdown hfxregpolice  boy arrested imitation handgun recovered,1,0
We will be livestreaming this vigil tonight at 7pm ATL on our website and Facebook pages globalhalifax ,Negative,livestreaming vigil tonight pm atl website facebook pages globalhalifax,0,2
RT HalifaxRLFCFAX1 Halifax Rl Women s team Tnite 26 trained with more to come Thanks to Fax Community coaches Dan Fleming Ben Kavanagh a ,Negative,halifaxrlfcfax halifax women team tnite  trained thanks fax community coaches dan fleming ben kavanagh,2,4
 New Halifax Custom Made White Wooden Picture Frames Save 15 TWT15 code,Neutral,halifax custom white wooden picture frames save  twt code,1,1
We ve put out our Bears4BarhoChildren in EnfieldNS Please do it to show support Halifax spryfieldstrong ,Negative,bearsbarhochildren enfieldns please support halifax spryfieldstrong,3,4
 JimCaseNL mmburton DebbieHanlon1 DaveLaneTweets OnTheGoCBC Make the waterfront one way traffic and develop lik ,Positive,jimcasenl mmburton debbiehanlon davelanetweets onthegocbc waterfront traffic develop,1,0
 CTV PowerPlay Bank Lobbying SCAMS Same as SNCLavelin Trudeau PAY for PLAY Scandal SPREAD the WORD 100X L ,Negative,ctv powerplay bank lobbying scams snclavelin trudeau pay play scandal spread word x,0,4
Halifax City Hall bathed in blue loghts with flags at half mast as preparations get the best underway for tonight s ,Negative,halifax city bathed blue loghts flags half mast preparations underway tonight,0,3
 sigh of relief ,Neutral,sigh relief,1,1
RT CTVNews Community asked to put out teddy bears in honour of 7 children killed in Halifax fire ,Negative,ctvnews community teddy bears honour  children killed halifax fire,2,4
Wow ,Positive,wow,1,0
Updated Police say they ve arrested a 15 year old male in relation to the incident An imitation handgun was repor ,Neutral,updated police arrested  male relation incident imitation handgun repor,1,1
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT AlexanderQuon The Ummah Mosque has released the ages and identities of the seven children who died in a fire in Spryfield Heartbreaki ,Negative,alexanderquon ummah mosque released ages identities seven children died fire spryfield heartbreaki,2,6
 ChrisWebby any chance you d come just a little more east for your Canada shows Montreal is close but still a hec ,Negative,chriswebby chance little canada montreal close hec,0,1
RT johnnyianson Football music and art The holy trinity beautifully tied together by Bands FC Currently at primestudios and archiv ,Positive,johnnyianson football music holy trinity beautifully tied bands fc currently primestudios archiv,3,0
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
 LCAHS Calgary 4 Halifax 3 Fusillade ,Negative,lcahs calgary  halifax  fusillade,0,1
RT globalhalifax Updated Police say they ve arrested a 15 year old male in relation to the incident An imitation handgun was reportedly ,Negative,globalhalifax updated police arrested  male relation incident imitation handgun reportedly,1,2
Non Portfolio Officer Emily Warren is a first year English Language an Linguistics student from Halifax College H ,Negative,portfolio officer emily warren english language linguistics student halifax college,0,2
 HuwWilliams470 No comment needed Absolute genius,Neutral,huwwilliams comment absolute genius,1,1
RT CBCAlerts PM Justin Trudeau to attend Halifax community gathering in support of the Syrian family who lost 7 children in N S house fi ,Negative,cbcalerts pm justin trudeau attend halifax community gathering support syrian family lost  children house,2,3
RT OnElectionDay ,Neutral,onelectionday,0,0
I know this is not a profound sentiment but I hope you get the chance to hug everyone you possibly can today But ,Positive,profound sentiment hope chance hug possibly,2,0
PMJT scheduled to appear at Halifax City Hall vigil tonight for Barho Family Global News will be live streaming t ,Neutral,pmjt scheduled appear halifax city vigil tonight barho family global news live streaming,1,1
RT emcsheff PMJT scheduled to appear at Halifax City Hall vigil tonight for Barho Family Global News will be live streaming the event o ,Negative,emcsheff pmjt scheduled appear halifax city vigil tonight barho family global news live streaming event,1,2
